_id,,Land Use,Property City,Sale Date,Sale Price,Acreage,Land Value,Building Value,Total Value,Finished Area,Year Built,Bedrooms,Full Bath,Half Bath
65d7ef0d234a2544308203df,45632,ZERO LOT LINE,OLD HICKORY,3/3/16,105000,0.24,12500.0,61900.0,74400.0,805.0,1984.0,2.0,1.0,0.0
65d7ef0d234a2544308203e3,45636,SINGLE FAMILY,OLD HICKORY,3/3/16,108000,0.23,25000.0,90100.0,115100.0,1425.0,1979.0,3.0,1.0,1.0
65d7ef0d234a2544308203e8,45641,SINGLE FAMILY,OLD HICKORY,3/3/16,128000,0.25,25000.0,67800.0,92800.0,1131.0,1976.0,2.0,1.0,0.0
65d7ef0d234a2544308203e9,45642,ZERO LOT LINE,NASHVILLE,3/14/16,92000,0.18,21000.0,55900.0,76900.0,1020.0,1984.0,2.0,1.0,1.0
65d7ef0d234a2544308203ea,45643,SINGLE FAMILY,NASHVILLE,3/18/16,189000,0.32,26000.0,84700.0,110700.0,1206.0,1958.0,2.0,1.0,0.0
65d7ef0d234a2544308203eb,45644,SINGLE FAMILY,NASHVILLE,3/11/16,127900,0.41,26000.0,123900.0,149900.0,1454.0,1958.0,3.0,1.0,0.0
65d7ef0d234a2544308203ed,45646,SINGLE FAMILY,HERMITAGE,3/31/16,175000,0.32,21000.0,132200.0,153200.0,2450.0,1977.0,4.0,3.0,0.0
65d7ef0d234a2544308203ee,45647,DUPLEX,HERMITAGE,3/21/16,119900,0.36,21000.0,103100.0,124100.0,1920.0,1979.0,4.0,4.0,0.0
65d7ef0d234a2544308203ef,45648,SINGLE FAMILY,HERMITAGE,3/29/16,172000,0.25,21000.0,121300.0,142300.0,1997.5,1964.0,3.0,2.0,0.0
65d7ef0d234a2544308203f0,45649,SINGLE FAMILY,HERMITAGE,3/11/16,150000,0.36,21000.0,81500.0,119600.0,1256.0,1960.0,3.0,1.0,0.0
65d7ef0d234a2544308203f1,45650,SINGLE FAMILY,HERMITAGE,3/31/16,160000,0.22,21000.0,92200.0,113200.0,1772.24997,1964.0,3.0,1.0,1.0
65d7ef0d234a2544308203f2,45651,SINGLE FAMILY,HERMITAGE,3/31/16,229900,0.6,38000.0,138000.0,176000.0,2040.0,1966.0,4.0,2.0,0.0
65d7ef0d234a2544308203f3,45652,SINGLE FAMILY,HERMITAGE,3/9/16,207500,2.25,57500.0,102500.0,162700.0,1641.0,1958.0,2.0,1.0,0.0
65d7ef0d234a2544308203f4,45653,SINGLE FAMILY,HERMITAGE,3/16/16,107125,0.34,21000.0,85500.0,106500.0,1100.0,1977.0,3.0,1.0,1.0
65d7ef0d234a2544308203f5,45654,SINGLE FAMILY,HERMITAGE,3/7/16,140000,0.25,27000.0,106900.0,133900.0,1957.0,1974.0,3.0,2.0,0.0
65d7ef0d234a2544308203f6,45655,ZERO LOT LINE,HERMITAGE,3/17/16,116900,0.12,16000.0,68500.0,84500.0,1342.0,1985.0,3.0,2.0,0.0
65d7ef0d234a2544308203f8,45657,SINGLE FAMILY,HERMITAGE,3/16/16,257500,0.41,27000.0,140700.0,167700.0,2660.76001,1983.0,5.0,3.0,0.0
65d7ef0d234a254430820400,45665,SINGLE FAMILY,HERMITAGE,3/17/16,132900,0.35,22000.0,89900.0,111900.0,1276.0,1978.0,3.0,1.0,1.0
65d7ef0d234a254430820401,45666,SINGLE FAMILY,HERMITAGE,3/18/16,136000,0.23,22000.0,92200.0,114200.0,1096.0,1989.0,3.0,2.0,0.0
65d7ef0d234a254430820403,45668,SINGLE FAMILY,NASHVILLE,3/30/16,230000,0.31,26000.0,115500.0,148500.0,1867.0,1951.0,2.0,1.0,0.0
65d7ef0d234a254430820405,45670,SINGLE FAMILY,NASHVILLE,3/11/16,239500,1.0,28800.0,161700.0,190500.0,1500.0,1968.0,3.0,1.0,0.0
65d7ef0d234a254430820407,45672,SINGLE FAMILY,HERMITAGE,3/17/16,185000,0.26,20000.0,130700.0,150700.0,2052.10001,1962.0,5.0,2.0,0.0
65d7ef0d234a254430820408,45673,SINGLE FAMILY,HERMITAGE,3/25/16,185000,0.21,22000.0,146400.0,168400.0,2200.0,1984.0,3.0,2.0,1.0
65d7ef0d234a25443082040f,45680,SINGLE FAMILY,HERMITAGE,3/11/16,189900,0.21,22000.0,106600.0,128600.0,1755.0,1983.0,3.0,1.0,0.0
65d7ef0d234a254430820414,45685,SINGLE FAMILY,HERMITAGE,3/30/16,160400,0.17,23000.0,114400.0,137400.0,1147.0,2001.0,3.0,2.0,0.0
65d7ef0d234a25443082041a,45691,SINGLE FAMILY,HERMITAGE,3/28/16,253000,0.39,35000.0,147300.0,182300.0,2643.29999,1989.0,3.0,2.0,0.0
65d7ef0d234a25443082041b,45692,SINGLE FAMILY,HERMITAGE,3/11/16,161000,0.34,35000.0,141300.0,176300.0,2381.28998,1988.0,3.0,2.0,0.0
65d7ef0d234a25443082041d,45694,DUPLEX,HERMITAGE,3/18/16,110000,0.18,22000.0,38400.0,60400.0,1508.0,1983.0,4.0,2.0,0.0
65d7ef0d234a25443082041f,45696,DUPLEX,NASHVILLE,3/11/16,135000,0.46,26000.0,77300.0,103300.0,1868.0,1953.0,3.0,2.0,0.0
65d7ef0d234a254430820422,45699,SINGLE FAMILY,NASHVILLE,3/7/16,145000,0.26,18000.0,108700.0,126700.0,925.0,1951.0,2.0,1.0,0.0
65d7ef0d234a254430820423,45700,SINGLE FAMILY,NASHVILLE,3/22/16,175000,0.57,30000.0,100600.0,130600.0,1371.0,1959.0,3.0,1.0,0.0
65d7ef0d234a254430820424,45701,SINGLE FAMILY,NASHVILLE,3/31/16,138500,0.66,30000.0,72600.0,102600.0,1454.0,1959.0,5.0,2.0,0.0
65d7ef0d234a254430820426,45703,SINGLE FAMILY,NASHVILLE,3/1/16,289900,0.91,40000.0,220000.0,260000.0,2315.0,1967.0,4.0,3.0,0.0
65d7ef0d234a254430820428,45705,SINGLE FAMILY,NASHVILLE,3/1/16,101800,0.43,25000.0,76700.0,101700.0,1161.0,1957.0,2.0,1.0,0.0
65d7ef0d234a254430820429,45706,SINGLE FAMILY,NASHVILLE,3/31/16,219298,0.33,27000.0,112100.0,139100.0,1690.0,1953.0,3.0,1.0,1.0
65d7ef0d234a25443082042a,45707,SINGLE FAMILY,NASHVILLE,3/17/16,173000,0.39,25000.0,95400.0,121200.0,1010.0,1956.0,3.0,1.0,0.0
65d7ef0d234a25443082042b,45708,SINGLE FAMILY,NASHVILLE,3/31/16,225500,0.39,25000.0,109200.0,137000.0,2100.0,1957.0,3.0,1.0,1.0
65d7ef0d234a25443082042c,45709,DUPLEX,NASHVILLE,3/25/16,174000,0.37,25000.0,108400.0,133400.0,2126.74001,1957.0,6.0,4.0,0.0
65d7ef0d234a25443082042e,45711,SINGLE FAMILY,NASHVILLE,3/4/16,163000,0.45,19000.0,102900.0,128500.0,1072.0,1947.0,3.0,2.0,0.0
65d7ef0d234a25443082042f,45712,SINGLE FAMILY,NASHVILLE,3/4/16,158000,0.46,22000.0,99100.0,126300.0,1623.0,1955.0,3.0,2.0,0.0
65d7ef0d234a254430820430,45713,SINGLE FAMILY,NASHVILLE,3/18/16,90000,0.34,24000.0,76500.0,100500.0,1136.0,1955.0,2.0,1.0,0.0
65d7ef0d234a254430820431,45714,SINGLE FAMILY,NASHVILLE,3/1/16,97000,0.29,19000.0,97500.0,116500.0,951.0,1955.0,2.0,1.0,0.0
65d7ef0d234a254430820432,45715,SINGLE FAMILY,NASHVILLE,3/10/16,162000,0.33,24000.0,99700.0,131900.0,1486.0,1955.0,3.0,1.0,1.0
65d7ef0d234a254430820433,45716,SINGLE FAMILY,NASHVILLE,3/31/16,165000,0.3,24000.0,94000.0,118000.0,1408.0,1955.0,3.0,2.0,0.0
65d7ef0d234a254430820434,45717,SINGLE FAMILY,NASHVILLE,3/31/16,128000,0.21,24000.0,66100.0,90100.0,850.0,1955.0,2.0,1.0,0.0
65d7ef0d234a254430820435,45718,SINGLE FAMILY,NASHVILLE,3/11/16,156000,0.39,24000.0,93100.0,117100.0,1660.375,1955.0,4.0,2.0,0.0
65d7ef0d234a254430820436,45719,SINGLE FAMILY,NASHVILLE,3/11/16,145000,0.25,24000.0,80500.0,105400.0,1169.0,1955.0,2.0,1.0,0.0
65d7ef0d234a254430820437,45720,SINGLE FAMILY,NASHVILLE,3/31/16,259900,0.5,19000.0,222400.0,241400.0,2085.0,1957.0,3.0,2.0,1.0
65d7ef0d234a254430820438,45721,SINGLE FAMILY,NASHVILLE,3/28/16,138000,0.22,22000.0,81900.0,103900.0,1080.0,1968.0,3.0,1.0,0.0
65d7ef0d234a254430820439,45722,SINGLE FAMILY,NASHVILLE,3/21/16,185000,0.4,24000.0,124800.0,148800.0,1188.0,1997.0,3.0,2.0,0.0
65d7ef0d234a25443082043a,45723,SINGLE FAMILY,NASHVILLE,3/29/16,122500,0.45,19000.0,87000.0,106000.0,1638.0,1966.0,3.0,2.0,0.0
65d7ef0d234a254430820457,45752,SINGLE FAMILY,NASHVILLE,3/16/16,180900,0.34,24000.0,118100.0,142100.0,1286.0,1958.0,3.0,1.0,0.0
65d7ef0d234a254430820458,45753,SINGLE FAMILY,NASHVILLE,3/24/16,147545,0.23,26000.0,98500.0,124500.0,1305.0,1980.0,3.0,2.0,0.0
65d7ef0d234a254430820459,45754,SINGLE FAMILY,HERMITAGE,3/31/16,205000,0.55,41000.0,164600.0,205600.0,3138.0,1977.0,3.0,3.0,0.0
65d7ef0d234a25443082045d,45758,SINGLE FAMILY,HERMITAGE,3/1/16,134000,0.92,36000.0,69500.0,116100.0,1248.0,1954.0,3.0,1.0,0.0
65d7ef0d234a25443082045e,45759,SINGLE FAMILY,HERMITAGE,3/3/16,175000,0.55,41000.0,113400.0,154400.0,1698.0,1979.0,3.0,2.0,0.0
65d7ef0d234a25443082045f,45760,SINGLE FAMILY,HERMITAGE,3/4/16,185900,0.52,27000.0,114600.0,146500.0,1947.0,1979.0,3.0,2.0,0.0
65d7ef0d234a254430820460,45761,SINGLE FAMILY,HERMITAGE,3/14/16,153000,0.38,27000.0,95500.0,122500.0,1650.0,1981.0,3.0,2.0,0.0
65d7ef0d234a254430820461,45762,ZERO LOT LINE,HERMITAGE,3/31/16,111850,0.17,19000.0,73300.0,93400.0,1388.0,1984.0,2.0,1.0,1.0
65d7ef0d234a25443082046a,45771,SINGLE FAMILY,NASHVILLE,3/31/16,98000,0.19,12000.0,70500.0,82500.0,950.0,1961.0,3.0,1.0,0.0
65d7ef0d234a25443082046c,45773,SINGLE FAMILY,NASHVILLE,3/11/16,65000,0.36,17000.0,70000.0,87000.0,1048.0,1949.0,3.0,1.0,1.0
65d7ef0d234a25443082046d,45774,SINGLE FAMILY,NASHVILLE,3/28/16,169900,0.39,17000.0,75600.0,96200.0,1128.0,1949.0,3.0,1.0,0.0
65d7ef0d234a25443082046e,45775,SINGLE FAMILY,NASHVILLE,3/24/16,128000,0.33,17000.0,67500.0,84500.0,899.0,1949.0,2.0,1.0,0.0
65d7ef0d234a25443082046f,45776,SINGLE FAMILY,NASHVILLE,3/16/16,100000,0.22,17000.0,66800.0,83800.0,839.0,1949.0,2.0,2.0,0.0
65d7ef0d234a254430820471,45778,SINGLE FAMILY,NASHVILLE,3/24/16,208000,0.24,30500.0,153500.0,184000.0,2273.27997,1989.0,3.0,3.0,0.0
65d7ef0d234a254430820474,45781,SINGLE FAMILY,NASHVILLE,3/28/16,130000,0.23,23500.0,99900.0,123400.0,1290.0,1986.0,3.0,2.0,0.0
65d7ef0d234a254430820475,45782,ZERO LOT LINE,NASHVILLE,3/31/16,187500,0.15,14300.0,47600.0,61900.0,1191.0,1984.0,2.0,2.0,0.0
65d7ef0d234a254430820476,45783,SINGLE FAMILY,NASHVILLE,3/4/16,235500,0.23,22000.0,155900.0,177900.0,2260.0,1995.0,3.0,3.0,0.0
65d7ef0d234a254430820477,45784,ZERO LOT LINE,NASHVILLE,3/31/16,187500,0.12,14300.0,57400.0,71700.0,1379.09998,1984.0,2.0,1.0,1.0
65d7ef0d234a254430820478,45785,SINGLE FAMILY,NASHVILLE,3/31/16,179900,0.23,23500.0,101000.0,124500.0,1447.55005,1985.0,3.0,2.0,0.0
65d7ef0d234a254430820479,45786,ZERO LOT LINE,NASHVILLE,3/31/16,187500,0.12,14300.0,57500.0,71800.0,1289.5,1984.0,2.0,1.0,1.0
65d7ef0d234a25443082047a,45787,ZERO LOT LINE,NASHVILLE,3/18/16,127000,0.13,14300.0,91100.0,105400.0,1584.0,1984.0,2.0,2.0,1.0
65d7ef0d234a25443082047b,45788,ZERO LOT LINE,NASHVILLE,3/2/16,136900,0.12,14300.0,101000.0,115300.0,1776.0,1987.0,3.0,2.0,1.0
65d7ef0d234a254430820481,45794,SINGLE FAMILY,NASHVILLE,3/7/16,255000,0.71,23000.0,172800.0,205100.0,2064.0,1950.0,3.0,2.0,0.0
65d7ef0d234a254430820482,45795,SINGLE FAMILY,NASHVILLE,3/31/16,130000,0.79,19600.0,60800.0,86500.0,1175.0,1968.0,3.0,1.0,1.0
65d7ef0d234a25443082048c,45805,SINGLE FAMILY,HERMITAGE,3/3/16,470000,2.18,67000.0,329300.0,397100.0,3307.0,1993.0,3.0,2.0,0.0
65d7ef0d234a25443082048d,45806,SINGLE FAMILY,NASHVILLE,3/8/16,145000,0.29,24000.0,84100.0,108100.0,1236.0,1963.0,3.0,1.0,0.0
65d7ef0d234a25443082049c,45821,SINGLE FAMILY,NASHVILLE,3/17/16,186000,0.23,27000.0,112600.0,140600.0,1997.0,1975.0,3.0,3.0,0.0
65d7ef0d234a25443082049d,45822,SINGLE FAMILY,NASHVILLE,3/23/16,174000,0.35,27000.0,119400.0,148600.0,1700.0,1971.0,4.0,3.0,0.0
65d7ef0d234a25443082049e,45823,SINGLE FAMILY,NASHVILLE,3/22/16,179900,0.34,27000.0,103100.0,130600.0,1880.0,1972.0,4.0,3.0,0.0
65d7ef0d234a25443082049f,45824,SINGLE FAMILY,NASHVILLE,3/28/16,193000,0.34,27000.0,116000.0,150600.0,2363.0,1977.0,4.0,3.0,0.0
65d7ef0d234a2544308204a0,45825,SINGLE FAMILY,NASHVILLE,3/18/16,170400,0.24,31000.0,107100.0,138100.0,1434.0,1997.0,3.0,2.0,0.0
65d7ef0d234a2544308204a1,45826,SINGLE FAMILY,NASHVILLE,3/4/16,182000,0.36,27000.0,114800.0,141800.0,1843.0,1980.0,3.0,2.0,0.0
65d7ef0d234a2544308204a3,45828,SINGLE FAMILY,NASHVILLE,3/21/16,170000,0.34,22500.0,113500.0,136000.0,2376.44,1974.0,4.0,2.0,0.0
65d7ef0d234a2544308204a4,45829,SINGLE FAMILY,NASHVILLE,3/22/16,161500,0.32,22500.0,89300.0,111800.0,1628.0,1975.0,3.0,1.0,1.0
65d7ef0d234a2544308204b2,45843,SINGLE FAMILY,NASHVILLE,3/17/16,125000,0.26,18000.0,78600.0,96600.0,1600.0,1963.0,3.0,1.0,1.0
65d7ef0d234a2544308204b3,45844,SINGLE FAMILY,ANTIOCH,3/17/16,139900,0.34,15000.0,81000.0,96000.0,1500.0,1972.0,3.0,1.0,0.0
65d7ef0d234a2544308204b4,45845,SINGLE FAMILY,ANTIOCH,3/14/16,132500,0.18,18000.0,75300.0,93300.0,2100.0,1972.0,3.0,1.0,1.0
65d7ef0d234a2544308204b5,45846,DUPLEX,ANTIOCH,3/5/16,135000,0.2,18000.0,74500.0,92500.0,1800.0,1973.0,4.0,4.0,0.0
65d7ef0d234a2544308204b6,45847,SINGLE FAMILY,ANTIOCH,3/15/16,119000,0.21,18000.0,85500.0,103500.0,1500.0,1978.0,3.0,1.0,1.0
65d7ef0d234a2544308204b7,45848,SINGLE FAMILY,ANTIOCH,3/29/16,105500,0.19,15500.0,63100.0,78600.0,888.0,1978.0,2.0,1.0,0.0
65d7ef0d234a2544308204b8,45849,SINGLE FAMILY,ANTIOCH,3/10/16,174000,0.3,25000.0,107400.0,132400.0,1967.0,1990.0,3.0,4.0,0.0
65d7ef0d234a2544308204bc,45853,SINGLE FAMILY,NASHVILLE,3/14/16,150000,0.29,25000.0,99200.0,124200.0,2175.0,1968.0,3.0,1.0,1.0
65d7ef0d234a2544308204bd,45854,ZERO LOT LINE,NASHVILLE,3/4/16,174000,0.12,14000.0,56100.0,70100.0,1280.0,1985.0,2.0,3.0,0.0
65d7ef0d234a2544308204be,45855,SINGLE FAMILY,NASHVILLE,3/31/16,150000,0.26,25000.0,93000.0,118000.0,1702.0,1968.0,3.0,1.0,1.0
65d7ef0d234a2544308204bf,45856,SINGLE FAMILY,NASHVILLE,3/21/16,165000,0.28,25000.0,119000.0,144000.0,2373.57001,1968.0,3.0,3.0,0.0
65d7ef0d234a2544308204c0,45857,ZERO LOT LINE,NASHVILLE,3/4/16,174000,0.12,14000.0,55600.0,69600.0,1280.0,1985.0,2.0,3.0,0.0
65d7ef0d234a2544308204c6,45863,SINGLE FAMILY,ANTIOCH,3/21/16,150000,0.25,17500.0,100000.0,117900.0,2150.0,1968.0,3.0,1.0,1.0
